Wavelength Flux
4858.3076171875 39863.89094543457
4859.5576171875 39521.48097229004
4860.8076171875 40692.841369628906
4862.0576171875 40664.04768371582
4863.3076171875 40422.861099243164
4864.5576171875 40501.006492614746
4865.8076171875 40526.443435668945
4867.0576171875 40171.482261657715
4868.3076171875 40209.9157333374
4869.5576171875 40127.75673675537
4870.8076171875 40281.15673828125
4872.0576171875 40047.85191345215
4873.3076171875 39147.69470214844
4874.5576171875 38880.98681640625
4875.8076171875 38632.55010986328
4877.0576171875 38854.57671356201
4878.3076171875 38753.18243408203
4879.5576171875 38496.03715515137
4880.8076171875 38709.93477630615
4882.0576171875 37778.802993774414
4883.3076171875 37649.0090713501
4884.5576171875 36651.69664001465
4885.8076171875 36753.90409851074
4887.0576171875 36607.638679504395
4888.3076171875 36297.251235961914
4889.5576171875 34072.252296447754
4890.8076171875 34034.83256530762
4892.0576171875 34019.2458190918
4893.3076171875 32842.31271362305
4894.5576171875 31065.948455810547
4895.8076171875 30297.774040222168
4897.0576171875 30155.693115234375
4898.3076171875 29831.436027526855
4899.5576171875 30038.341262817383
4900.8076171875 31828.843704223633
4902.0576171875 33504.53706359863
4903.3076171875 34086.32147216797
4904.5576171875 34801.64743041992
4905.8076171875 34407.514793395996
4907.0576171875 33774.03254699707
4908.3076171875 35161.906745910645
4909.5576171875 36214.64591217041
4910.8076171875 36942.639251708984
4912.0576171875 37813.47476196289
4913.3076171875 38564.02182006836
4914.5576171875 39707.59477996826
4915.8076171875 39685.37480163574
4917.0576171875 39452.11462402344
4918.3076171875 39211.25419616699
4919.5576171875 39063.318130493164
4920.8076171875 39096.99102783203
4922.0576171875 38221.360610961914
4923.3076171875 39212.66381072998
4924.5576171875 38976.19406890869
4925.8076171875 38439.1742477417
4927.0576171875 38512.67108154297
4928.3076171875 40060.821380615234
4929.5576171875 41997.16512298584
4930.8076171875 43340.93558502197
4932.0576171875 43658.42138671875
4933.3076171875 43271.04708862305
4934.5576171875 43060.17476654053
4935.8076171875 42168.23546600342
4937.0576171875 41836.38049316406
4938.3076171875 42245.40570831299
4939.5576171875 42171.70475769043
4940.8076171875 42830.00509643555
4942.0576171875 43285.84420013428
4943.3076171875 42083.34865570068
4944.5576171875 41241.80897521973
4945.8076171875 40482.135650634766
4947.0576171875 40933.58948516846
4948.3076171875 42095.378829956055
4949.5576171875 42645.60794830322
4950.8076171875 43552.595153808594
4952.0576171875 43182.77130126953
4953.3076171875 41233.56072998047
4954.5576171875 39465.17497253418
4955.8076171875 38455.25902557373
4957.0576171875 38860.51686859131
4958.3076171875 39621.813972473145
4959.5576171875 40413.92068481445
4960.8076171875 41547.59829711914
4962.0576171875 42610.731033325195
4963.3076171875 43972.79481506348
4964.5576171875 44808.01844024658
4965.8076171875 44479.07053375244
4967.0576171875 43719.29331970215
4968.3076171875 42962.56756591797
4969.5576171875 42501.51686859131
4970.8076171875 42136.64928436279
4972.0576171875 42692.221351623535
4973.3076171875 40784.25570678711
4974.5576171875 40296.2961807251
4975.8076171875 41853.99836730957
4977.0576171875 43620.32288360596
4978.3076171875 44533.44004058838
4979.5576171875 44973.95925140381
4980.8076171875 44877.70696258545
4982.0576171875 44586.04257965088
4983.3076171875 44973.1573638916
4984.5576171875 45791.0205078125
4985.8076171875 45458.697525024414
4987.0576171875 45895.58186340332
4988.3076171875 45885.56848144531
4989.5576171875 45996.98161315918
4990.8076171875 46047.07432556152
4992.0576171875 44677.911041259766
4993.3076171875 43847.230056762695
4994.5576171875 45128.65810394287
4995.8076171875 47408.259269714355
4997.0576171875 46897.74324798584
4998.3076171875 46745.66799926758
4999.5576171875 45936.78253173828
5000.8076171875 44494.86180114746
5002.0576171875 43886.486755371094
5003.3076171875 43936.811195373535
5004.5576171875 43615.8051071167
5005.8076171875 43476.01918029785
5007.0576171875 44277.04333496094
5008.3076171875 44610.1446685791
5009.5576171875 44989.30936431885
5010.8076171875 45803.78259277344
5012.0576171875 45516.28187561035
5013.3076171875 44693.35695648193
5014.5576171875 43701.72620391846
5015.8076171875 43037.50704956055
5017.0576171875 41803.87269592285
5018.3076171875 40718.98610687256
5019.5576171875 40459.24198913574
5020.8076171875 41332.011375427246
5022.0576171875 42877.73781585693
5023.3076171875 43878.67401885986
5024.5576171875 44331.90022277832
5025.8076171875 44149.01007080078
5027.0576171875 44033.826026916504
5028.3076171875 43577.15824127197
5029.5576171875 44321.18699645996
5030.8076171875 44512.54936218262
5032.0576171875 45662.75651550293
5033.3076171875 45712.24301147461
5034.5576171875 45302.455795288086
5035.8076171875 45171.68104553223
5037.0576171875 45078.406341552734
5038.3076171875 45744.74865722656
5039.5576171875 47586.99169921875
5040.8076171875 48083.675048828125
5042.0576171875 49095.284088134766
5043.3076171875 49943.42738342285
5044.5576171875 49817.36576843262
5045.8076171875 48600.85795593262
5047.0576171875 46505.55610656738
5048.3076171875 44763.66091918945
5049.5576171875 43510.0749130249
5050.8076171875 42725.42610168457
5052.0576171875 42292.68728637695
5053.3076171875 41813.748596191406
5054.5576171875 41258.80024719238
5055.8076171875 41039.59568023682
5057.0576171875 41593.30609893799
5058.3076171875 42016.54660797119
5059.5576171875 42565.29007720947
5060.8076171875 42827.53632354736
5062.0576171875 43087.769371032715
5063.3076171875 43052.08613586426
5064.5576171875 42793.83213043213
5065.8076171875 43093.853515625
5067.0576171875 43881.6731338501
5068.3076171875 44450.7265625
5069.5576171875 45444.48768615723
5070.8076171875 44656.438652038574
5072.0576171875 42893.01738739014
5073.3076171875 42729.51337432861
5074.5576171875 41879.96031188965
5075.8076171875 40479.44111633301
5077.0576171875 39003.20674133301
5078.3076171875 40089.74653625488
5079.5576171875 42252.57635498047
5080.8076171875 44539.32558441162
5082.0576171875 45272.18672943115
5083.3076171875 44894.69387054443
5084.5576171875 43739.050033569336
5085.8076171875 42908.390716552734
5087.0576171875 42111.25944519043
5088.3076171875 42292.54963684082
5089.5576171875 43197.43086242676
5090.8076171875 43506.76461791992
5092.0576171875 43988.78470611572
5093.3076171875 44560.339363098145
5094.5576171875 44663.52089691162
5095.8076171875 45625.31921386719
5097.0576171875 45989.265312194824
5098.3076171875 45798.686935424805
5099.5576171875 45049.66876220703
5100.8076171875 44002.456062316895
5102.0576171875 43082.88724517822
5103.3076171875 43174.998222351074
5104.5576171875 43174.72579193115
5105.8076171875 44175.49124908447
5107.0576171875 43807.06733703613
5108.3076171875 44123.143966674805
5109.5576171875 43599.87049102783
5110.8076171875 43877.23261260986
5112.0576171875 43905.991943359375
5113.3076171875 43923.70920562744
5114.5576171875 43188.3676071167
5115.8076171875 42272.20058441162
5117.0576171875 41239.77362060547
5118.3076171875 41455.08441925049
5119.5576171875 43090.62586212158
5120.8076171875 43403.21161651611
5122.0576171875 43367.82326507568
5123.3076171875 44671.529304504395
5124.5576171875 45057.073303222656
5125.8076171875 44924.69061279297
5127.0576171875 45309.38089752197
5128.3076171875 45783.014305114746
5129.5576171875 46174.891609191895
5130.8076171875 45802.28939819336
5132.0576171875 45558.38070678711
5133.3076171875 44271.063247680664
5134.5576171875 42933.98989868164
5135.8076171875 42041.16767883301
5137.0576171875 42955.128356933594
5138.3076171875 44236.639320373535
5139.5576171875 45300.1697845459
5140.8076171875 45154.00552368164
5142.0576171875 44612.077003479004
5143.3076171875 44253.525077819824
5144.5576171875 44361.60631561279
5145.8076171875 43874.467849731445
5147.0576171875 44064.83485412598
5148.3076171875 44519.01075744629
5149.5576171875 45147.665435791016
5150.8076171875 45652.62488555908
5152.0576171875 45871.88848114014
5153.3076171875 46236.62446594238
5154.5576171875 46619.07205200195
5155.8076171875 46854.25188446045
5157.0576171875 46097.75444793701
5158.3076171875 44971.297706604004
5159.5576171875 44630.83702850342
5160.8076171875 43302.4331741333
5162.0576171875 43024.810287475586
5163.3076171875 42856.2692489624
5164.5576171875 43075.64756011963
5165.8076171875 42987.199867248535
5167.0576171875 43684.53943634033
5168.3076171875 43984.46012878418
5169.5576171875 44514.69445800781
5170.8076171875 45193.16049194336
5172.0576171875 45620.1318359375
5173.3076171875 45241.32684326172
5174.5576171875 44595.28887939453
5175.8076171875 43708.26583862305
5177.0576171875 44141.35865020752
5178.3076171875 43950.83949279785
5179.5576171875 43987.339042663574
5180.8076171875 43822.76258850098
5182.0576171875 43969.0299987793
