Title: Infrared Luminosities and Aromatic Features in the 24 micron 
       Flux Limited Sample of 5MUSES  
Authors: Wu Y., Helou G., Armus L., Cormier D., Shi Y., Dale D., Dasyra K., 
         Smith J.D., Papovich C., Draine B., Rahman N., Stierwalt S., Fadda D.,
         Lagache G., Wright E.L. 
Table: General Properties of the Sample
================================================================================
Byte-by-byte Description of file: apj368264t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---        ID      Source 5MUSES identification 
  12- 37 A26    ---        Name    Source 5MUSES name
  39- 40 I2     h          RAh     Hour of Right Ascension (J2000) 
  42- 43 I2     min        RAm     Minute of Right Ascension (J2000) 
  45- 48 F4.1   s          RAs     Second of Right Ascension (J2000) 
      50 A1     ---        DE-     Sign of the Declination (J2000)
  51- 52 I2     deg        DEd     Degree of Declination (J2000) 
  54- 55 I2     arcmin     DEm     Arcminute of Declination (J2000) 
  57- 60 F4.1   arcsec     DEs     Arcsecond of Declination (J2000) 
  62- 66 F5.3   ---        z       Redshift 
      68 I1     ---      f_z       Flag on z (1)  
  70- 73 F4.1   mJy        F24     Spitzer/MIPS 24 micron flux density  
      75 A1     ---      l_EW6.2   Limit flag on EW6.2
  76- 81 F6.3   um         EW6.2   ? Equivalent width of 6.2 micron PAH band
  83- 87 F5.3   um       e_EW6.2   ? Uncertainty in 6.2{mu}m EW 
  89- 93 F5.2   [solLum]   logLIR  Log of IR luminosity
  95- 98 F4.2   [solLum] e_logLIR  Uncertainty in logLIR
5MUSES-044 5MUSES_J022301.97-052335.8 02 23 02.0 -05 23 35.9 0.708 2  6.8 < 0.054       12.77 0.04 
5MUSES-045 5MUSES_J022309.31-052316.1 02 23 09.3 -05 23 16.2 0.084 2  5.3 < 0.426        9.93 0.06 
5MUSES-047 5MUSES_J022315.58-040606.0 02 23 15.6 -04 06 06.0 0.199 2  9.4   0.486 0.067 11.31 0.04 
5MUSES-048 5MUSES_J022329.13-043209.5 02 23 29.1 -04 32 09.6 0.144 2  7.6   0.585 0.075 10.95 0.05 
5MUSES-049 5MUSES_J022334.65-035229.4 02 23 34.7 -03 52 29.4 0.176 2  7.6   0.966 0.129 11.03 0.10 
5MUSES-050 5MUSES_J022345.04-054234.4 02 23 45.0 -05 42 34.5 0.143 2  9.1   0.689 0.003 11.17 0.02 
5MUSES-051 5MUSES_J022356.49-025431.1 02 23 56.5 -02 54 31.1 0.451 2 10.4   0.058 0.004 11.79 0.07 
5MUSES-052 5MUSES_J022413.64-042227.8 02 24 13.6 -04 22 27.8 0.116 2  9.2   0.626 0.062 10.96 0.04 
5MUSES-053 5MUSES_J022422.48-040230.5 02 24 22.5 -04 02 30.6 0.171 2  7.5   0.414 0.007 11.16 0.04 
5MUSES-054 5MUSES_J022431.58-052818.8 02 24 31.6 -05 28 18.8 2.068 2  9.4               13.02 0.25 
5MUSES-055 5MUSES_J022434.28-041531.2 02 24 34.3 -04 15 31.2 0.259 2  6.3   0.584 0.019 11.58 0.02 
5MUSES-056 5MUSES_J022438.97-042706.3 02 24 39.0 -04 27 06.4 0.252 2  6.6   0.156 0.034 11.30 0.06 
5MUSES-057 5MUSES_J022446.99-040851.3 02 24 47.0 -04 08 51.4 0.096 2  5.3   0.456 0.012 10.81 0.01 
5MUSES-058 5MUSES_J022457.64-041417.9 02 24 57.6 -04 14 18.0 0.063 2 11.9   0.476 0.035 10.59 0.04 
